contig_name	sequence_length	frac_gc	contig_group	contig_type
chr14_KI270722v1_random	194050	0.401680	human_autosome	autosomal
chr14_GL000194v1_random	191469	0.432587	human_autosome	autosomal
chr14_KI270723v1_random	38115	0.453548	human_autosome	autosomal
chr14_KI270724v1_random	39555	0.448894	human_autosome	autosomal
chr14_KI270725v1_random	172810	0.379660	human_autosome	autosomal
chr14_KI270726v1_random	43739	0.424152	human_autosome	autosomal
chr15_KI270727v1_random	448248	0.390630	human_autosome	autosomal
chr16_KI270728v1_random	1872759	0.413852	human_autosome	autosomal
chr17_GL000205v2_random	185591	0.415704	human_autosome	autosomal
chr17_KI270729v1_random	280839	0.372823	human_autosome	autosomal
chr17_KI270730v1_random	112551	0.397816	human_autosome	autosomal
chr22_KI270731v1_random	150754	0.477195	human_autosome	autosomal
chr22_KI270732v1_random	41543	0.371543	human_autosome	autosomal
chr22_KI270733v1_random	179772	0.476209	human_autosome	autosomal
chr22_KI270734v1_random	165050	0.491160	human_autosome	autosomal
chr22_KI270735v1_random	42811	0.364135	human_autosome	autosomal
chr22_KI270736v1_random	181920	0.440865	human_autosome	autosomal
chr22_KI270737v1_random	103838	0.365814	human_autosome	autosomal
chr22_KI270738v1_random	99375	0.362784	human_autosome	autosomal
chr22_KI270739v1_random	73985	0.372975	human_autosome	autosomal
chrY_KI270740v1_random	37240	0.429323	human_sex	sex_chromosome
chrUn_KI270302v1	2274	0.416007	human_unplaced	unplaced
chrUn_KI270304v1	2165	0.392148	human_unplaced	unplaced
chrUn_KI270303v1	1942	0.394439	human_unplaced	unplaced
chrUn_KI270305v1	1472	0.415082	human_unplaced	unplaced
chrUn_KI270322v1	21476	0.420103	human_unplaced	unplaced
chrUn_KI270320v1	4416	0.416667	human_unplaced	unplaced
chrUn_KI270310v1	1201	0.393838	human_unplaced	unplaced
chrUn_KI270316v1	1444	0.384349	human_unplaced	unplaced
chrUn_KI270315v1	2276	0.382689	human_unplaced	unplaced
chrUn_KI270312v1	998	0.371743	human_unplaced	unplaced
chrUn_KI270311v1	12399	0.386379	human_unplaced	unplaced
chrUn_KI270317v1	37690	0.383002	human_unplaced	unplaced
chrUn_KI270412v1	1179	0.384224	human_unplaced	unplaced
chrUn_KI270411v1	2646	0.376795	human_unplaced	unplaced
chrUn_KI270414v1	2489	0.377662	human_unplaced	unplaced
chrUn_KI270419v1	1029	0.390671	human_unplaced	unplaced
chrUn_KI270418v1	2145	0.398601	human_unplaced	unplaced
chrUn_KI270420v1	2321	0.405429	human_unplaced	unplaced
chrUn_KI270424v1	2140	0.367757	human_unplaced	unplaced
chrUn_KI270417v1	2043	0.364170	human_unplaced	unplaced
chrUn_KI270422v1	1445	0.401384	human_unplaced	unplaced
chrUn_KI270423v1	981	0.396534	human_unplaced	unplaced
chrUn_KI270425v1	1884	0.388004	human_unplaced	unplaced
chrUn_KI270429v1	1361	0.368846	human_unplaced	unplaced
chrUn_KI270442v1	392061	0.404375	human_unplaced	unplaced
chrUn_KI270466v1	1233	0.224655	human_unplaced	unplaced
chrUn_KI270465v1	1774	0.374859	human_unplaced	unplaced
chrUn_KI270467v1	3920	0.242602	human_unplaced	unplaced
chrUn_KI270435v1	92983	0.368614	human_unplaced	unplaced
chrUn_KI270438v1	112505	0.390032	human_unplaced	unplaced
chrUn_KI270468v1	4055	0.365228	human_unplaced	unplaced
chrUn_KI270510v1	2415	0.359834	human_unplaced	unplaced
chrUn_KI270509v1	2318	0.358930	human_unplaced	unplaced
chrUn_KI270518v1	2186	0.361848	human_unplaced	unplaced
chrUn_KI270508v1	1951	0.416709	human_unplaced	unplaced
chrUn_KI270516v1	1300	0.363077	human_unplaced	unplaced
chrUn_KI270512v1	22689	0.386399	human_unplaced	unplaced
chrUn_KI270519v1	138126	0.368655	human_unplaced	unplaced
chrUn_KI270522v1	5674	0.368699	human_unplaced	unplaced
chrUn_KI270511v1	8127	0.363603	human_unplaced	unplaced
chrUn_KI270515v1	6361	0.355133	human_unplaced	unplaced
chrUn_KI270507v1	5353	0.367084	human_unplaced	unplaced
chrUn_KI270517v1	3253	0.358438	human_unplaced	unplaced
chrUn_KI270529v1	1899	0.388626	human_unplaced	unplaced
chrUn_KI270528v1	2983	0.354341	human_unplaced	unplaced
chrUn_KI270530v1	2168	0.387454	human_unplaced	unplaced
chrUn_KI270539v1	993	0.795569	human_unplaced	unplaced
chrUn_KI270538v1	91309	0.382872	human_unplaced	unplaced
chrUn_KI270544v1	1202	0.392679	human_unplaced	unplaced
chrUn_KI270548v1	1599	0.394622	human_unplaced	unplaced
chrUn_KI270583v1	1400	0.358571	human_unplaced	unplaced
chrUn_KI270587v1	2969	0.367127	human_unplaced	unplaced
chrUn_KI270580v1	1553	0.379910	human_unplaced	unplaced
chrUn_KI270581v1	7046	0.399801	human_unplaced	unplaced
chrUn_KI270579v1	31033	0.362485	human_unplaced	unplaced
chrUn_KI270589v1	44474	0.375466	human_unplaced	unplaced
chrUn_KI270590v1	4685	0.366275	human_unplaced	unplaced
chrUn_KI270584v1	4513	0.361622	human_unplaced	unplaced
chrUn_KI270582v1	6504	0.394526	human_unplaced	unplaced
chrUn_KI270588v1	6158	0.360344	human_unplaced	unplaced
chrUn_KI270593v1	3041	0.367971	human_unplaced	unplaced
chrUn_KI270591v1	5796	0.378709	human_unplaced	unplaced
chrUn_KI270330v1	1652	0.478814	human_unplaced	unplaced
chrUn_KI270329v1	1040	0.375000	human_unplaced	unplaced
chrUn_KI270334v1	1368	0.400585	human_unplaced	unplaced
chrUn_KI270333v1	2699	0.240830	human_unplaced	unplaced
chrUn_KI270335v1	1048	0.406489	human_unplaced	unplaced
chrUn_KI270338v1	1428	0.406863	human_unplaced	unplaced
chrUn_KI270340v1	1428	0.403361	human_unplaced	unplaced
chrUn_KI270336v1	1026	0.245614	human_unplaced	unplaced
chrUn_KI270337v1	1121	0.255129	human_unplaced	unplaced
chrUn_KI270363v1	1803	0.383805	human_unplaced	unplaced
chrUn_KI270364v1	2855	0.362172	human_unplaced	unplaced
chrUn_KI270362v1	3530	0.361473	human_unplaced	unplaced
chrUn_KI270366v1	8320	0.361418	human_unplaced	unplaced
chrUn_KI270378v1	1048	0.388359	human_unplaced	unplaced
chrUn_KI270379v1	1045	0.378947	human_unplaced	unplaced
chrUn_KI270389v1	1298	0.372111	human_unplaced	unplaced
chrUn_KI270390v1	2387	0.369920	human_unplaced	unplaced
chrUn_KI270387v1	1537	0.363696	human_unplaced	unplaced
chrUn_KI270395v1	1143	0.370079	human_unplaced	unplaced
chrUn_KI270396v1	1880	0.373936	human_unplaced	unplaced
chrUn_KI270388v1	1216	0.370066	human_unplaced	unplaced
chrUn_KI270394v1	970	0.370103	human_unplaced	unplaced
chrUn_KI270386v1	1788	0.371924	human_unplaced	unplaced
chrUn_KI270391v1	1484	0.371968	human_unplaced	unplaced
chrUn_KI270383v1	1750	0.377714	human_unplaced	unplaced
chrUn_KI270393v1	1308	0.378440	human_unplaced	unplaced
chrUn_KI270384v1	1658	0.370929	human_unplaced	unplaced
chrUn_KI270392v1	971	0.367662	human_unplaced	unplaced
chrUn_KI270381v1	1930	0.378238	human_unplaced	unplaced
chrUn_KI270385v1	990	0.369697	human_unplaced	unplaced
chrUn_KI270382v1	4215	0.370581	human_unplaced	unplaced
chrUn_KI270376v1	1136	0.366197	human_unplaced	unplaced
chrUn_KI270374v1	2656	0.367093	human_unplaced	unplaced
chrUn_KI270372v1	1650	0.356364	human_unplaced	unplaced
chrUn_KI270373v1	1451	0.388697	human_unplaced	unplaced
chrUn_KI270375v1	2378	0.360387	human_unplaced	unplaced
chrUn_KI270371v1	2805	0.371123	human_unplaced	unplaced
chrUn_KI270448v1	7992	0.372247	human_unplaced	unplaced
chrUn_KI270521v1	7642	0.395446	human_unplaced	unplaced
chrUn_GL000195v1	182896	0.406625	human_unplaced	unplaced
chrUn_GL000219v1	179198	0.399608	human_unplaced	unplaced
chrUn_GL000220v1	161802	0.484648	human_unplaced	unplaced
chrUn_GL000224v1	179693	0.432877	human_unplaced	unplaced
chrUn_KI270741v1	157432	0.424226	human_unplaced	unplaced
chrUn_GL000226v1	15008	0.390259	human_unplaced	unplaced
chrUn_GL000213v1	164239	0.409020	human_unplaced	unplaced
chrUn_KI270743v1	210658	0.421446	human_unplaced	unplaced
chrUn_KI270744v1	168472	0.420770	human_unplaced	unplaced
chrUn_KI270745v1	41891	0.474183	human_unplaced	unplaced
chrUn_KI270746v1	66486	0.352646	human_unplaced	unplaced
chrUn_KI270747v1	198735	0.372697	human_unplaced	unplaced
chrUn_KI270748v1	93321	0.452128	human_unplaced	unplaced
chrUn_KI270749v1	158759	0.370694	human_unplaced	unplaced
chrUn_KI270750v1	148850	0.403493	human_unplaced	unplaced
chrUn_KI270751v1	150742	0.381141	human_unplaced	unplaced
chrUn_KI270752v1	27745	0.413119	human_unplaced	unplaced
chrUn_KI270753v1	62944	0.426840	human_unplaced	unplaced
chrUn_KI270754v1	40191	0.545769	human_unplaced	unplaced
chrUn_KI270755v1	36723	0.419519	human_unplaced	unplaced
chrUn_KI270756v1	79590	0.384727	human_unplaced	unplaced
chrUn_KI270757v1	71251	0.368757	human_unplaced	unplaced
chrUn_GL000214v1	137718	0.415211	human_unplaced	unplaced
chrUn_KI270742v1	186739	0.387257	human_unplaced	unplaced
chrUn_GL000216v2	176608	0.419216	human_unplaced	unplaced
chrUn_GL000218v1	161147	0.416204	human_unplaced	unplaced
chrEBV	171823	0.594967	EBV	control
phage_lambda	48502	0.498577	lambda	control
plasmid_puc19c	2686	0.506329	pUC19	control
phage_T4	168903	0.352984	T4	control
phage_Xp12	64272	0.681868	Xp12	control
